*Pick And Place List
*Company=
*Author=
*eMail=
*
*Project=CicadaPCB
*Date=23:28:47
*CreatedBy=Fritzing 0.9.3b.04.19.5c895d327c44a3114e5fcc9d8260daf0cbb52806
*
*
*Coordinates in mm, always center of component
*Origin 0/0=Lower left corner of PCB
*Rotation in degree (0-360, math. pos.)
*
*No;Value;Package;X;Y;Rotation;Side;Name
104;;THT;16.9759;-5.93299;90;Bottom;Pluvio
105;;300 mil [THT];17.6135;-69.9409;180;Bottom;D2
106;;;82.7889;-60.2609;0;Bottom;Via33
107;;;56.6091;-8.78262;0;Bottom;TXT4
108;;;28.8417;-75.8814;0;Bottom;Copper Fill102
109;;;53.1368;-26.2879;0;Bottom;Copper Fill79
110;;THT;68.0989;-11.5609;90;Bottom;J2
111;;;60.325;-32.8792;0;Bottom;Copper Fill11
112;;;47.498;-42.5058;0;Bottom;Copper Fill95
113;;;18.8849;-54.3168;0;Bottom;Copper Fill42
114;;;71.7256;-75.9388;0;Bottom;TXT4
115;;;30.2559;-1.71535;0;Bottom;TXT2
116;;;18.8849;-46.2904;0;Bottom;Copper Fill128
117;;;56.4889;-34.2607;0;Bottom;Via15
118;;;68.0889;-18.4609;0;Bottom;Via11
119;;;18.0086;-53.4659;0;Bottom;Copper Fill110
120;;;72.517;-40.1055;0;Bottom;Copper Fill48
121;;;7.0612;-27.1007;0;Bottom;Copper Fill118
122;1k;THT;13.8289;-61.0509;90;Bottom;R1
123;;;6.20889;-5.17079;0;Bottom;Hole1
124;;;49.489;-35.2609;0;Bottom;Via4
125;;;71.6026;-37.0575;0;Bottom;Copper Fill141
126;;;15.0749;-27.5452;0;Bottom;Copper Fill148
127;;;76.5992;-75.9388;0;Bottom;TXT4
128;;;71.6661;-40.9564;0;Bottom;Copper Fill46
129;;;3.9878;-49.9099;0;Bottom;Copper Fill37
130;;3 mm [THT];87.489;-54.1219;0;Bottom;B
131;;;62.357;-28.1802;0;Bottom;Copper Fill19
132;;;2.93864;-53.6214;0;Bottom;Power
133;;;11.2649;-23.8368;0;Bottom;Copper Fill131
134;;;52.6669;-26.8086;0;Bottom;Copper Fill77
135;;;34.689;-27.661;0;Bottom;Via17
136;;;3.9878;-67.6899;0;Bottom;Copper Fill96
137;;;6.20889;-80.1009;0;Bottom;Hole3
138;;;56.8553;-43.5912;0;Bottom;ESP32 DEVKIT 04 - 38Pins
139;;;2.3749;-40.042;0;Bottom;Copper Fill119
140;;;38.6889;-25.6609;0;Bottom;Via8
141;;THT;5.70089;-28.6939;180;Bottom;Solar cell
142;;;58.2889;-34.0609;0;Bottom;Via16
143;;;80.0889;-33.8608;0;Bottom;Via10
144;;;73.533;-18.706;0;Bottom;Copper Fill88
145;;;31.5849;-80.4788;0;Bottom;Copper Fill107
146;;;70.8152;-40.1055;0;Bottom;Copper Fill47
147;;;74.202;-75.9388;0;Bottom;TXT4
148;;;88.759;-5.17079;0;Bottom;Hole2
149;;;52.6669;-25.818;0;Bottom;Copper Fill78
150;;;52.4889;-60.2609;0;Bottom;Via26
151;;;61.9805;-8.78262;0;Bottom;TXT4
152;;;31.5849;-82.3584;0;Bottom;Copper Fill40
153;;;1.6002;-40.7659;0;Bottom;Copper Fill55
154;;;52.6888;-26.2609;0;Bottom;Via21
155;;;5.6769;-48.2716;0;Bottom;Copper Fill100
156;;;18.8849;-52.6404;0;Bottom;Copper Fill109
157;;;44.7802;-76.5799;0;Bottom;Copper Fill113
158;;;2.3749;-41.5152;0;Bottom;Copper Fill54
159;;;42.0624;-6.4759;0;Bottom;Copper Fill121
160;;;40.4749;-13.6768;0;Bottom;Copper Fill64
161;;;61.1099;-70.3517;-90;Bottom;microSD
162;;;3.9878;-67.6899;0;Bottom;Copper Fill30
163;;;86.6902;-50.9767;0;Bottom;Copper Fill59
164;;;12.0904;-22.9859;0;Bottom;Copper Fill134
165;;;18.0086;-47.1159;0;Bottom;Copper Fill129
166;;;36.5252;-60.8827;0;Bottom;Copper Fill137
167;;;1.016;-72.5159;0;Bottom;Copper Fill98
168;;400 mil [THT];35.089;-72.5809;90;Bottom;L1
169;;;61.976;-54.3676;0;Bottom;Copper Fill7
170;39k;THT;45.5789;-12.7909;0;Bottom;R4
171;;;64.2552;-75.9388;0;Bottom;TXT4
172;;3 mm [THT];4.24787;-40.731;-90;Bottom;LED1
173;;;63.0174;-38.4926;0;Bottom;Copper Fill10
174;;;41.3004;-12.8259;0;Bottom;Copper Fill138
175;;;59.1537;-75.9388;0;Bottom;TXT4
176;;;6.1849;-26.2244;0;Bottom;Copper Fill116
177;;;91.5108;-66.5424;-90;Bottom;TXT1
178;;;71.8058;-18.7822;0;Bottom;Copper Fill90
179;;;43.2562;-76.5799;0;Bottom;Copper Fill112
180;;;44.7802;-76.5799;0;Bottom;Copper Fill45
181;;;53.1622;-32.8538;0;Bottom;Copper Fill83
182;;;50.7492;-63.3846;0;Bottom;Copper Fill1
183;;;74.2188;-27.3674;0;Bottom;Copper Fill20
184;;;88.5741;-21.7793;-90;Bottom;IMG1
185;;;88.759;-80.1009;0;Bottom;Hole4
186;;;74.5889;-20.2609;0;Bottom;Via40
187;;;65.7889;-28.7609;0;Bottom;Via34
188;;;67.7889;-29.0609;0;Bottom;Via36
189;;;36.0888;-60.8608;0;Bottom;Via18
190;;TO220 [THT];45.5789;-4.91688;180;Bottom;IRF540N
191;;;58.674;-21.7032;0;Bottom;Copper Fill25
192;;;27.4701;-62.6734;0;Bottom;Copper Fill101
193;;;66.5873;-75.9388;0;Bottom;TXT4
194;;;57.5889;-19.0609;0;Bottom;Via20
195;;;11.2649;-22.1604;0;Bottom;Copper Fill62
196;1k;THT;21.4489;-10.2509;180;Bottom;R14
197;;;48.6664;-58.457;0;Bottom;Copper Fill4
198;;;36.0553;-61.4034;0;Bottom;Copper Fill135
199;;;46.0888;-35.0608;0;Bottom;Via14
200;;;30.4292;-14.5023;0;Bottom;Copper Fill143
201;;300 mil [THT];31.6089;-41.9755;-90;Bottom;D5
202;;;69.2009;-75.9388;0;Bottom;TXT4
203;;;1.016;-54.7359;0;Bottom;Copper Fill99
204;;;70.612;-37.0575;0;Bottom;Copper Fill70
205;;;43.561;-30.0852;0;Bottom;Copper Fill14
206;1k;THT;72.8088;-44.0608;0;Bottom;R5
