*Pick And Place List
*Company=
*Author=
*eMail=
*
*Project=CicadaPCB
*Date=00:08:25
*CreatedBy=Fritzing 0.9.3b.04.19.5c895d327c44a3114e5fcc9d8260daf0cbb52806
*
*
*Coordinates in mm, always center of component
*Origin 0/0=Lower left corner of PCB
*Rotation in degree (0-360, math. pos.)
*
*No;Value;Package;X;Y;Rotation;Side;Name
104;;;28.8417;-75.8814;0;Bottom;Copper Fill115
105;;;41.7576;-51.6879;0;Bottom;Copper Fill89
106;;;34.689;-27.661;0;Bottom;Via17
107;;;70.612;-37.0575;0;Bottom;Copper Fill150
108;;;56.8553;-43.5912;0;Bottom;ESP32 DEVKIT 04 - 38Pins
109;;;81.0514;-24.5734;0;Bottom;Copper Fill18
110;;;72.6888;-20.2608;0;Bottom;Via39
111;;;79.6648;-8.78273;0;Bottom;TXT4
112;;;76.689;-20.2608;0;Bottom;Via41
113;;;36.0553;-61.4034;0;Bottom;Copper Fill68
114;;;32.0421;-52.0054;0;Bottom;Copper Fill160
115;;;39.5986;-12.8259;0;Bottom;Copper Fill66
116;;;48.1838;-12.9656;0;Bottom;Copper Fill101
117;;;91.5108;-66.5424;-90;Bottom;TXT1
118;;;76.5991;-75.9388;0;Bottom;TXT4
119;;;64.2112;-57.4156;0;Bottom;Copper Fill5
120;;;36.489;-25.6609;0;Bottom;Via5
121;;;36.0553;-60.4128;0;Bottom;Copper Fill146
122;;;52.6888;-26.2609;0;Bottom;Via21
123;;THT;5.70089;-28.6939;180;Bottom;Solar cell
124;;;43.0149;-5.5488;0;Bottom;Copper Fill58
125;;;52.6669;-25.818;0;Bottom;Copper Fill85
126;;;6.20889;-80.1009;0;Bottom;Hole3
127;;;88.1888;-45.8967;0;Bottom;Copper Fill134
128;;300 mil [THT];27.8243;-81.3709;0;Bottom;D3
129;;;71.8693;-10.7304;0;Bottom;Copper Fill50
130;;;58.2889;-34.0609;0;Bottom;Via16
131;;THT;68.0988;-11.561;90;Bottom;J2
132;1k;THT;60.809;-51.461;0;Bottom;R7
133;;;30.6324;-81.4059;0;Bottom;Copper Fill37
134;;;29.464;-14.5023;0;Bottom;Copper Fill152
135;;;90.541;-14.7969;-90;Bottom;IMG2
136;;;25.2349;-15.8104;0;Bottom;Copper Fill46
137;;;41.3004;-12.8259;0;Bottom;Copper Fill148
138;;;71.1073;-37.5528;0;Bottom;Copper Fill71
139;;;43.18;-25.8688;0;Bottom;Copper Fill96
140;;;36.0888;-60.8608;0;Bottom;Via18
141;;;40.4749;-13.6768;0;Bottom;Copper Fill65
142;;;52.489;-60.2608;0;Bottom;Via26
143;;;2.3749;-41.5152;0;Bottom;Copper Fill55
144;;;26.5938;-61.7971;0;Bottom;Copper Fill35
145;;;11.2649;-22.1604;0;Bottom;Copper Fill64
146;;3 mm [THT];87.489;-44.0017;0;Bottom;R
147;;;46.0888;-35.0608;0;Bottom;Via14
148;;;71.6026;-37.0575;0;Bottom;Copper Fill73
149;;THT;16.9759;-5.93299;90;Bottom;Pluvio
150;;;47.498;-42.5058;0;Bottom;Copper Fill105
151;;;80.3889;-20.2608;0;Bottom;Via43
152;;;21.0693;-46.3412;0;Bottom;Copper Fill63
153;;;44.7889;-60.2608;0;Bottom;Via24
154;;;57.5888;-19.0608;0;Bottom;Via20
155;;;72.5678;-22.9732;0;Bottom;Copper Fill22
156;;;77.4954;-18.579;0;Bottom;Copper Fill97
157;;;61.722;-13.372;0;Bottom;Copper Fill103
158;;;68.3006;-14.4861;90;Bottom;SIM800L
159;;;7.37464;-41.4076;-90;Bottom;TXT6
160;;;49.489;-35.2609;0;Bottom;Via4
161;;;86.6902;-56.0059;0;Bottom;Copper Fill137
162;;;2.6289;-74.205;0;Bottom;Copper Fill107
163;;;5.6769;-66.0516;0;Bottom;Copper Fill25
164;;;51.889;-20.4609;0;Bottom;Via1
165;;;11.2649;-23.8368;0;Bottom;Copper Fill141
166;;;3.9878;-67.6899;0;Bottom;Copper Fill26
167;;;71.9605;-8.78273;0;Bottom;TXT4
168;;;32.0421;-51.0148;0;Bottom;Copper Fill161
