*Pick And Place List
*Company=
*Author=
*eMail=
*
*Project=CicadaPCBv2
*Date=09:16:51
*CreatedBy=Fritzing 0.9.3b.04.19.5c895d327c44a3114e5fcc9d8260daf0cbb52806
*
*
*Coordinates in mm, always center of component
*Origin 0/0=Lower left corner of PCB
*Rotation in degree (0-360, math. pos.)
*
*No;Value;Package;X;Y;Rotation;Side;Name
105;;;64.2493;-10.7304;0;Bottom;Copper Fill39
106;;;37.465;-31.2282;0;Bottom;Copper Fill92
107;;;47.2888;-60.2608;0;Bottom;Via25
108;;;74.2188;-27.3674;0;Bottom;Copper Fill16
109;;;42.789;-35.9609;0;Bottom;Via12
110;;;52.1462;-26.2879;0;Bottom;Copper Fill183
111;;;61.7093;-74.3828;0;Bottom;Copper Fill116
112;;;57.8888;-20.6607;0;Bottom;Via20
113;;;60.089;-28.6609;0;Bottom;Via2
114;;;48.6156;-26.2371;0;Bottom;Copper Fill176
115;;;52.4637;-59.8286;0;Bottom;Copper Fill169
116;;;71.4502;-30.0852;0;Bottom;Copper Fill98
117;;;59.3761;-8.78273;0;Bottom;TXT4
118;;;74.589;-20.2608;0;Bottom;Via40
119;1k;THT;46.009;-18.2609;0;Bottom;R3
120;1k;THT;14.2722;-31.2609;0;Bottom;R18
121;;;61.7093;-74.3828;0;Bottom;Copper Fill41
122;;;52.4637;-60.8192;0;Bottom;Copper Fill76
123;;;2.3749;-41.5152;0;Bottom;Copper Fill44
124;;TO220 [THT];6.01289;-15.5609;90;Bottom;2SJ306
125;;;46.9773;-3.87237;0;Bottom;Copper Fill45
126;1k;THT;77.0088;-44.0608;0;Bottom;R5
127;;3 mm [THT];87.489;-54.1219;0;Bottom;B
128;;;69.2009;-75.9388;0;Bottom;TXT4
129;;;56.8553;-43.5912;0;Bottom;ESP32 DEVKIT 04 - 38Pins
130;1k;THT;14.2722;-17.0609;0;Bottom;R15
131;;cap-pth-small2;53.2889;-46.031;90;Bottom;C8
132;;;57.277;-51.0783;0;Bottom;Copper Fill148
133;1k;THT;31.1889;-18.601;-90;Bottom;R9
134;33k;THT;49.7888;-45.9842;90;Bottom;R10
135;33k;THT;37.489;-45.9842;90;Bottom;R13
136;;;71.8693;-10.7304;0;Bottom;Copper Fill40
137;;;2.6289;-74.205;0;Bottom;Copper Fill111
138;;;28.8417;-75.8814;0;Bottom;Copper Fill120
139;;;45.466;-51.1291;0;Bottom;Copper Fill75
140;;;77.4954;-18.579;0;Bottom;Copper Fill101
141;;;34.6964;-6.47587;0;Bottom;Copper Fill68
142;;THT;45.6989;-24.8455;180;Bottom;PC817
143;;;61.289;-34.9609;0;Bottom;Via23
144;;;74.8284;-24.5988;0;Bottom;Copper Fill18
145;;;41.8592;-47.3191;0;Bottom;Copper Fill136
146;;;74.2188;-21.5508;0;Bottom;Copper Fill20
147;;;91.5108;-66.5424;-90;Bottom;TXT1
148;;;18.8849;-54.3168;0;Bottom;Copper Fill33
149;;;2.286;-15.7088;0;Bottom;Copper Fill105
150;;;87.4649;-56.7552;0;Bottom;Copper Fill142
151;;;79.3333;-75.9388;0;Bottom;TXT4
152;;;44.6889;-53.7609;0;Bottom;Via44
153;;;61.289;-39.161;0;Bottom;Via15
154;;;65.5574;-12.6862;0;Bottom;Copper Fill108
155;;;80.289;-60.2608;0;Bottom;Via32
156;;;71.1707;-36.9941;0;Bottom;Via22
157;;300 mil [THT];16.3435;-81.3709;180;Bottom;D1
158;;THT;9.68889;-41.531;0;Bottom;J3
159;;;56.4261;-51.9546;0;Bottom;Copper Fill145
160;;;21.0566;-46.8746;0;Bottom;Copper Fill85
161;39k;THT;45.5789;-12.7909;0;Bottom;R4
162;;;71.6026;-37.0575;0;Bottom;Copper Fill161
163;;;77.3684;-25.6148;0;Bottom;Copper Fill13
164;;;47.498;-42.5058;0;Bottom;Copper Fill106
165;;;9.1313;-20.9412;0;Bottom;Copper Fill149
166;;;52.6888;-26.2609;0;Bottom;Via21
167;;;35.56;-60.8827;0;Bottom;Copper Fill62
168;;;52.5018;-47.3191;0;Bottom;Copper Fill173
169;;;72.8889;-60.2608;0;Bottom;Via29
170;;TO220 [THT];44.4889;-6.28481;0;Bottom;IRF540N
171;;TO220 [THT];6.01289;-28.6608;90;Bottom;2SJ306
172;;;56.6293;-12.5084;0;Bottom;Copper Fill153
173;;;51.943;-60.3239;0;Bottom;Copper Fill77
174;;;2.3749;-40.042;0;Bottom;Copper Fill137
175;;;44.7889;-60.2608;0;Bottom;Via24
176;;;31.5849;-82.3584;0;Bottom;Copper Fill31
177;;;74.509;-8.78273;0;Bottom;TXT4
178;;;9.9822;-34.3143;0;Bottom;Copper Fill164
179;;;57.3532;-20.6999;0;Bottom;Copper Fill80
180;;;30.6324;-81.4059;0;Bottom;Copper Fill32
181;;;18.8722;-27.8119;0;Bottom;Copper Fill171
182;10k;THT;44.6888;-45.9842;-90;Bottom;R12
183;;;23.6601;-75.8814;0;Bottom;Copper Fill123
184;39k;THT;14.2722;-20.0609;0;Bottom;R16
185;;;72.517;-40.1055;0;Bottom;Copper Fill37
186;;;3.9878;-67.6899;0;Bottom;Copper Fill23
187;;300 mil [THT];15.9889;-41.9763;-90;Bottom;D4
188;;;6.20889;-5.17079;0;Bottom;Hole1
189;;;44.7802;-76.5799;0;Bottom;Copper Fill131
190;;;8.7376;-42.8487;0;Bottom;Copper Fill118
191;;;86.6902;-56.0059;0;Bottom;Copper Fill143
192;;;36.449;-56.3107;0;Bottom;Copper Fill151
193;;;25.0889;-36.761;0;Bottom;Via17
194;;;3.9878;-67.6899;0;Bottom;Copper Fill109
195;;;64.2553;-75.9388;0;Bottom;TXT4
196;;;8.2804;-34.3143;0;Bottom;Copper Fill163
197;;;77.0089;-8.78273;0;Bottom;TXT4
198;10k;THT;56.4888;-45.9808;-90;Bottom;R11
199;;;9.1313;-20.9412;0;Bottom;Copper Fill51
200;;;44.5008;-61.0732;0;Bottom;Copper Fill3
201;;;8.2804;-34.3143;0;Bottom;Copper Fill60
202;;;49.4665;-27.088;0;Bottom;Copper Fill73
203;;300 mil [THT];27.8243;-81.3709;0;Bottom;D3
204;;;40.4114;-47.3191;0;Bottom;Copper Fill58
205;;;8.2804;-20.0903;0;Bottom;Copper Fill150
206;;;53.1368;-26.2879;0;Bottom;Copper Fill83
207;;;18.8722;-27.8119;0;Bottom;Copper Fill70
208;1k;THT;77.4088;-51.461;0;Bottom;R7
209;;;27.989;-41.1608;0;Bottom;Via13
210;;;81.0514;-24.5734;0;Bottom;Copper Fill17
211;;THT;68.0988;-11.561;90;Bottom;J2
212;;;88.759;-5.17079;0;Bottom;Hole2
213;;;12.0567;-40.0911;-90;Bottom;TXT8
214;;;68.0888;-18.4608;0;Bottom;Via11
215;;THT;14.2722;-12.7055;180;Bottom;PC818
